Year,Sport,Discipline,Country,Gender,Medal
2008,Taekwondo,Taekwondo,AFG,Men,Bronze
2012,Taekwondo,Taekwondo,AFG,Men,Bronze
1988,Sailing,Sailing,AHO,Men,Silver
1984,Boxing,Boxing,ALG,Men,Bronze
1984,Boxing,Boxing,ALG,Men,Bronze
1992,Athletics,Athletics,ALG,Women,Gold
1992,Boxing,Boxing,ALG,Men,Bronze
1996,Athletics,Athletics,ALG,Men,Gold
1996,Boxing,Boxing,ALG,Men,Gold
1996,Boxing,Boxing,ALG,Men,Bronze
2000,Athletics,Athletics,ALG,Women,Gold
2000,Athletics,Athletics,ALG,Men,Silver
2000,Athletics,Athletics,ALG,Men,Bronze
2000,Athletics,Athletics,ALG,Men,Bronze
2000,Boxing,Boxing,ALG,Men,Bronze
2008,Judo,Judo,ALG,Women,Bronze
2008,Judo,Judo,ALG,Men,Silver
2012,Athletics,Athletics,ALG,Men,Gold
1908,Aquatics,Swimming,ANZ,Men,Bronze
1908,Aquatics,Swimming,ANZ,Men,Silver
1908,Athletics,Athletics,ANZ,Men,Bronze
1908,Boxing,Boxing,ANZ,Men,Silver
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1908,Rugby,Rugby,ANZ,Men,Gold
1912,Aquatics,Swimming,ANZ,Men,Silver
1912,Aquatics,Swimming,ANZ,Women,Gold
1912,Aquatics,Swimming,ANZ,Women,Silver
1912,Aquatics,Swimming,ANZ,Men,Bronze
1912,Aquatics,Swimming,ANZ,Men,Bronze
1912,Aquatics,Swimming,ANZ,Men,Gold
1912,Aquatics,Swimming,ANZ,Men,Gold
1912,Aquatics,Swimming,ANZ,Men,Gold
1912,Aquatics,Swimming,ANZ,Men,Gold
1912,Tennis,Tennis,ANZ,Men,Bronze
1924,Athletics,Athletics,ARG,Men,Silver
1924,Boxing,Boxing,ARG,Men,Bronze
1924,Boxing,Boxing,ARG,Men,Bronze
1924,Boxing,Boxing,ARG,Men,Silver
1924,Boxing,Boxing,ARG,Men,Silver
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1924,Polo,Polo,ARG,Men,Gold
1928,Aquatics,Swimming,ARG,Men,Gold
1928,Boxing,Boxing,ARG,Men,Gold
1928,Boxing,Boxing,ARG,Men,Silver
1928,Boxing,Boxing,ARG,Men,Silver
1928,Boxing,Boxing,ARG,Men,Gold
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Fencing,Fencing,ARG,Men,Bronze
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1928,Football,Football,ARG,Men,Silver
1932,Athletics,Athletics,ARG,Men,Gold
1932,Boxing,Boxing,ARG,Men,Gold
1932,Boxing,Boxing,ARG,Men,Gold
1932,Boxing,Boxing,ARG,Men,Silver
1936,Aquatics,Swimming,ARG,Women,Silver
1936,Boxing,Boxing,ARG,Men,Silver
1936,Boxing,Boxing,ARG,Men,Gold
1936,Boxing,Boxing,ARG,Men,Bronze
1936,Boxing,Boxing,ARG,Men,Bronze
1936,Polo,Polo,ARG,Men,Gold
1936,Polo,Polo,ARG,Men,Gold
1936,Polo,Polo,ARG,Men,Gold
1936,Polo,Polo,ARG,Men,Gold
1936,Rowing,Rowing,ARG,Men,Bronze
1936,Rowing,Rowing,ARG,Men,Bronze
1948,Athletics,Athletics,ARG,Women,Silver
1948,Athletics,Athletics,ARG,Men,Gold
1948,Boxing,Boxing,ARG,Men,Gold
1948,Boxing,Boxing,ARG,Men,Gold
1948,Boxing,Boxing,ARG,Men,Bronze
1948,Sailing,Sailing,ARG,Men,Silver
1948,Sailing,Sailing,ARG,Men,Silver
1948,Sailing,Sailing,ARG,Men,Silver
1948,Sailing,Sailing,ARG,Men,Silver
1948,Sailing,Sailing,ARG,Men,Silver
1948,Sailing,Sailing,ARG,Men,Silver
1948,Shooting,Shooting,ARG,Men,Silver
1952,Athletics,Athletics,ARG,Men,Silver
1952,Boxing,Boxing,ARG,Men,Bronze
1952,Boxing,Boxing,ARG,Men,Silver
1952,Rowing,Rowing,ARG,Men,Gold
1952,Rowing,Rowing,ARG,Men,Gold
1952,Weightlifting,Weightlifting,ARG,Men,Bronze
1956,Boxing,Boxing,ARG,Men,Bronze
1956,Weightlifting,Weightlifting,ARG,Men,Silver
1960,Boxing,Boxing,ARG,Men,Bronze
1960,Sailing,Sailing,ARG,Men,Silver
1960,Sailing,Sailing,ARG,Men,Silver
1960,Sailing,Sailing,ARG,Men,Silver
1964,Equestrian,Eventing,ARG,Men,Silver
1968,Boxing,Boxing,ARG,Men,Bronze
1968,Rowing,Rowing,ARG,Men,Bronze
1972,Rowing,Rowing,ARG,Men,Silver
1988,Tennis,Tennis,ARG,Women,Silver
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1988,Volleyball,Volleyball,ARG,Men,Bronze
1992,Tennis,Tennis,ARG,Men,Bronze
1992,Tennis,Tennis,ARG,Men,Bronze
1996,Boxing,Boxing,ARG,Men,Bronze
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Football,Football,ARG,Men,Silver
1996,Sailing,Sailing,ARG,Men,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Hockey,Hockey,ARG,Women,Silver
2000,Sailing,Sailing,ARG,Men,Bronze
2000,Sailing,Sailing,ARG,Men,Bronze
2000,Sailing,Sailing,ARG,Men,Silver
2000,Sailing,Sailing,ARG,Women,Bronze
2004,Aquatics,Swimming,ARG,Women,Bronze
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Basketball,Basketball,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Football,Football,ARG,Men,Gold
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Hockey,Hockey,ARG,Women,Bronze
2004,Sailing,Sailing,ARG,Men,Bronze
2004,Sailing,Sailing,ARG,Men,Bronze
2004,Tennis,Tennis,ARG,Women,Bronze
2004,Tennis,Tennis,ARG,Women,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Basketball,Basketball,ARG,Men,Bronze
2008,Cycling,Cycling Track,ARG,Men,Gold
2008,Cycling,Cycling Track,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Football,Football,ARG,Men,Gold
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Hockey,Hockey,ARG,Women,Bronze
2008,Judo,Judo,ARG,Women,Bronze
2008,Sailing,Sailing,ARG,Men,Bronze
2008,Sailing,Sailing,ARG,Men,Bronze
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Hockey,Hockey,ARG,Women,Silver
2012,Sailing,Sailing,ARG,Men,Bronze
2012,Sailing,Sailing,ARG,Men,Bronze
2012,Taekwondo,Taekwondo,ARG,Men,Gold
2012,Tennis,Tennis,ARG,Men,Bronze
1996,Wrestling,Wrestling Free.,ARM,Men,Silver
1996,Wrestling,Wrestling Gre-R,ARM,Men,Gold
2000,Weightlifting,Weightlifting,ARM,Men,Bronze
2008,Boxing,Boxing,ARM,Men,Bronze
2008,Weightlifting,Weightlifting,ARM,Men,Bronze
2008,Weightlifting,Weightlifting,ARM,Men,Bronze
2008,Weightlifting,Weightlifting,ARM,Men,Bronze
2008,Wrestling,Wrestling Gre-R,ARM,Men,Bronze
2008,Wrestling,Wrestling Gre-R,ARM,Men,Bronze
2012,Wrestling,Wrestling Freestyle,ARM,Men,Silver
2012,Wrestling,Wrestling Freestyle,ARM,Men,Bronze
1896,Athletics,Athletics,AUS,Men,Gold
1896,Athletics,Athletics,AUS,Men,Gold
1900,Aquatics,Swimming,AUS,Men,Gold
1900,Aquatics,Swimming,AUS,Men,Gold
1900,Athletics,Athletics,AUS,Men,Bronze
1900,Athletics,Athletics,AUS,Men,Bronze
1900,Athletics,Athletics,AUS,Men,Bronze
1920,Aquatics,Swimming,AUS,Men,Bronze
1920,Aquatics,Swimming,AUS,Men,Silver
1920,Aquatics,Swimming,AUS,Men,Silver
1920,Aquatics,Swimming,AUS,Men,Silver
1920,Aquatics,Swimming,AUS,Men,Silver
1920,Athletics,Athletics,AUS,Men,Silver
1924,Aquatics,Diving,AUS,Men,Gold
1924,Aquatics,Swimming,AUS,Men,Bronze
1924,Aquatics,Swimming,AUS,Men,Gold
1924,Aquatics,Swimming,AUS,Men,Bronze
1924,Aquatics,Swimming,AUS,Men,Silver
1924,Aquatics,Swimming,AUS,Men,Silver
1924,Aquatics,Swimming,AUS,Men,Silver
1924,Aquatics,Swimming,AUS,Men,Silver
1924,Aquatics,Swimming,AUS,Men,Silver
1924,Athletics,Athletics,AUS,Men,Gold
1928,Aquatics,Swimming,AUS,Men,Silver
1928,Aquatics,Swimming,AUS,Men,Silver
1928,Cycling,Cycling Track,AUS,Men,Bronze
1928,Rowing,Rowing,AUS,Men,Gold
1932,Aquatics,Swimming,AUS,Women,Silver
1932,Aquatics,Swimming,AUS,Women,Gold
1932,Cycling,Cycling Track,AUS,Men,Gold
1932,Rowing,Rowing,AUS,Men,Gold
1932,Wrestling,Wrestling Free.,AUS,Men,Bronze
1936,Athletics,Athletics,AUS,Men,Bronze
1948,Aquatics,Swimming,AUS,Women,Bronze
1948,Aquatics,Swimming,AUS,Men,Silver
1948,Aquatics,Swimming,AUS,Women,Silver
1948,Aquatics,Swimming,AUS,Men,Bronze
1948,Athletics,Athletics,AUS,Women,Bronze
1948,Athletics,Athletics,AUS,Women,Silver
1948,Athletics,Athletics,AUS,Women,Silver
1948,Athletics,Athletics,AUS,Women,Silver
1948,Athletics,Athletics,AUS,Women,Silver
1948,Athletics,Athletics,AUS,Women,Bronze
1948,Athletics,Athletics,AUS,Men,Gold
1948,Athletics,Athletics,AUS,Men,Silver
1948,Athletics,Athletics,AUS,Men,Silver
1948,Rowing,Rowing,AUS,Men,Gold
1948,Wrestling,Wrestling Free.,AUS,Men,Bronze
1948,Wrestling,Wrestling Free.,AUS,Men,Silver
1952,Aquatics,Swimming,AUS,Men,Gold
1952,Athletics,Athletics,AUS,Women,Bronze
1952,Athletics,Athletics,AUS,Women,Gold
1952,Athletics,Athletics,AUS,Women,Gold
1952,Athletics,Athletics,AUS,Women,Gold
1952,Cycling,Cycling Track,AUS,Men,Gold
1952,Cycling,Cycling Track,AUS,Men,Gold
1952,Cycling,Cycling Track,AUS,Men,Gold
1952,Cycling,Cycling Track,AUS,Men,Silver
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Bronze
1952,Rowing,Rowing,AUS,Men,Silver
1952,Weightlifting,Weightlifting,AUS,Men,Bronze
1956,Aquatics,Swimming,AUS,Men,Gold
1956,Aquatics,Swimming,AUS,Men,Silver
1956,Aquatics,Swimming,AUS,Men,Bronze
1956,Aquatics,Swimming,AUS,Men,Gold
1956,Aquatics,Swimming,AUS,Men,Silver
1956,Aquatics,Swimming,AUS,Women,Bronze
1956,Aquatics,Swimming,AUS,Women,Gold
1956,Aquatics,Swimming,AUS,Women,Silver
1956,Aquatics,Swimming,AUS,Men,Gold
1956,Aquatics,Swimming,AUS,Men,Gold
1956,Aquatics,Swimming,AUS,Women,Gold
1956,Aquatics,Swimming,AUS,Women,Silver
1956,Aquatics,Swimming,AUS,Women,Gold
1956,Aquatics,Swimming,AUS,Women,Gold
1956,Aquatics,Swimming,AUS,Women,Gold
1956,Aquatics,Swimming,AUS,Women,Gold
1956,Aquatics,Swimming,AUS,Men,Gold
1956,Aquatics,Swimming,AUS,Men,Gold
1956,Aquatics,Swimming,AUS,Men,Gold
1956,Aquatics,Swimming,AUS,Men,Gold
1956,Athletics,Athletics,AUS,Men,Bronze
1956,Athletics,Athletics,AUS,Men,Bronze
1956,Athletics,Athletics,AUS,Women,Bronze
1956,Athletics,Athletics,AUS,Women,Gold
1956,Athletics,Athletics,AUS,Men,Bronze
1956,Athletics,Athletics,AUS,Women,Bronze
1956,Athletics,Athletics,AUS,Women,Gold
1956,Athletics,Athletics,AUS,Women,Gold
1956,Athletics,Athletics,AUS,Women,Gold
1956,Athletics,Athletics,AUS,Women,Gold
1956,Athletics,Athletics,AUS,Women,Gold
1956,Athletics,Athletics,AUS,Men,Silver
1956,Athletics,Athletics,AUS,Men,Silver
1956,Athletics,Athletics,AUS,Men,Silver
1956,Athletics,Athletics,AUS,Men,Silver
1956,Athletics,Athletics,AUS,Women,Bronze
1956,Athletics,Athletics,AUS,Women,Gold
1956,Athletics,Athletics,AUS,Men,Silver
1956,Boxing,Boxing,AUS,Men,Bronze
1956,Canoe / Kayak,Canoe / Kayak F,AUS,Men,Bronze
1956,Canoe / Kayak,Canoe / Kayak F,AUS,Men,Bronze
1956,Cycling,Cycling Track,AUS,Men,Gold
1956,Cycling,Cycling Track,AUS,Men,Gold
1956,Cycling,Cycling Track,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Bronze
1956,Rowing,Rowing,AUS,Men,Silver
1956,Sailing,Sailing,AUS,Men,Bronze
1956,Sailing,Sailing,AUS,Men,Bronze
1956,Sailing,Sailing,AUS,Men,Bronze
1956,Sailing,Sailing,AUS,Men,Silver
1956,Sailing,Sailing,AUS,Men,Silver
1960,Aquatics,Swimming,AUS,Men,Gold
1960,Aquatics,Swimming,AUS,Women,Bronze
1960,Aquatics,Swimming,AUS,Men,Gold
1960,Aquatics,Swimming,AUS,Women,Gold
1960,Aquatics,Swimming,AUS,Men,Gold
1960,Aquatics,Swimming,AUS,Men,Silver
1960,Aquatics,Swimming,AUS,Men,Silver
1960,Aquatics,Swimming,AUS,Men,Bronze
1960,Aquatics,Swimming,AUS,Men,Gold
1960,Aquatics,Swimming,AUS,Women,Silver
1960,Aquatics,Swimming,AUS,Women,Silver
1960,Aquatics,Swimming,AUS,Women,Silver
1960,Aquatics,Swimming,AUS,Women,Silver
1960,Aquatics,Swimming,AUS,Men,Silver
1960,Aquatics,Swimming,AUS,Men,Silver
1960,Aquatics,Swimming,AUS,Men,Silver
1960,Aquatics,Swimming,AUS,Men,Silver
1960,Aquatics,Swimming,AUS,Women,Silver
1960,Aquatics,Swimming,AUS,Women,Silver
1960,Aquatics,Swimming,AUS,Women,Silver
1960,Aquatics,Swimming,AUS,Women,Silver
1960,Aquatics,Swimming,AUS,Men,Bronze
1960,Aquatics,Swimming,AUS,Men,Bronze
1960,Aquatics,Swimming,AUS,Men,Bronze
1960,Aquatics,Swimming,AUS,Men,Bronze
1960,Athletics,Athletics,AUS,Men,Bronze
1960,Athletics,Athletics,AUS,Men,Gold
1960,Athletics,Athletics,AUS,Men,Silver
1960,Athletics,Athletics,AUS,Women,Silver
1960,Boxing,Boxing,AUS,Men,Bronze
1960,Boxing,Boxing,AUS,Men,Bronze
1960,Equestrian,Eventing,AUS,Men,Gold
1960,Equestrian,Eventing,AUS,Men,Silver
1960,Equestrian,Eventing,AUS,Men,Gold
1960,Equestrian,Eventing,AUS,Men,Gold
1960,Equestrian,Eventing,AUS,Men,Gold
1964,Aquatics,Swimming,AUS,Women,Gold
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Men,Gold
1964,Aquatics,Swimming,AUS,Men,Gold
1964,Aquatics,Swimming,AUS,Men,Gold
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Women,Silver
1964,Aquatics,Swimming,AUS,Women,Silver
1964,Aquatics,Swimming,AUS,Women,Silver
1964,Aquatics,Swimming,AUS,Women,Silver
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Aquatics,Swimming,AUS,Men,Bronze
1964,Athletics,Athletics,AUS,Men,Bronze
1964,Athletics,Athletics,AUS,Women,Bronze
1964,Athletics,Athletics,AUS,Women,Bronze
1964,Athletics,Athletics,AUS,Women,Gold
1964,Athletics,Athletics,AUS,Women,Bronze
1964,Athletics,Athletics,AUS,Women,Silver
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Hockey,Hockey,AUS,Men,Bronze
1964,Judo,Judo,AUS,Men,Bronze
1964,Sailing,Sailing,AUS,Men,Gold
1964,Sailing,Sailing,AUS,Men,Gold
1964,Sailing,Sailing,AUS,Men,Gold
1968,Aquatics,Swimming,AUS,Women,Gold
1968,Aquatics,Swimming,AUS,Men,Gold
1968,Aquatics,Swimming,AUS,Men,Bronze
1968,Aquatics,Swimming,AUS,Men,Gold
1968,Aquatics,Swimming,AUS,Women,Bronze
1968,Aquatics,Swimming,AUS,Men,Bronze
1968,Aquatics,Swimming,AUS,Men,Bronze
1968,Aquatics,Swimming,AUS,Men,Bronze
1968,Aquatics,Swimming,AUS,Men,Bronze
1968,Aquatics,Swimming,AUS,Women,Silver
1968,Aquatics,Swimming,AUS,Women,Silver
1968,Aquatics,Swimming,AUS,Women,Silver
1968,Aquatics,Swimming,AUS,Women,Silver
1968,Aquatics,Swimming,AUS,Men,Silver
1968,Aquatics,Swimming,AUS,Men,Silver
1968,Aquatics,Swimming,AUS,Men,Silver
1968,Aquatics,Swimming,AUS,Men,Silver
1968,Athletics,Athletics,AUS,Men,Silver
1968,Athletics,Athletics,AUS,Women,Bronze
1968,Athletics,Athletics,AUS,Women,Silver
1968,Athletics,Athletics,AUS,Men,Gold
1968,Athletics,Athletics,AUS,Women,Gold
1968,Athletics,Athletics,AUS,Women,Silver
1968,Equestrian,Eventing,AUS,Men,Bronze
1968,Equestrian,Eventing,AUS,Men,Bronze
1968,Equestrian,Eventing,AUS,Men,Bronze
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Hockey,Hockey,AUS,Men,Silver
1968,Rowing,Rowing,AUS,Men,Silver
1968,Rowing,Rowing,AUS,Men,Silver
1968,Rowing,Rowing,AUS,Men,Silver
1968,Rowing,Rowing,AUS,Men,Silver
1968,Rowing,Rowing,AUS,Men,Silver
1968,Rowing,Rowing,AUS,Men,Silver
1968,Rowing,Rowing,AUS,Men,Silver
1968,Rowing,Rowing,AUS,Men,Silver
